2025-08-05 16:47:56 status unpacked libsmartcols1:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:56 install libss2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:47:56 status half-installed libss2:amd64 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:47:56 status unpacked libss2:amd64 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:47:56 install libssl3t64:amd64 <none> 3.0.13-0ubuntu3
2025-08-05 16:47:56 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3
2025-08-05 16:47:56 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3
2025-08-05 16:47:56 install libsystemd0:amd64 <none> 255.4-1ubuntu8
2025-08-05 16:47:56 status half-installed libsystemd0:amd64 255.4-1ubuntu8
2025-08-05 16:47:56 status unpacked libsystemd0:amd64 255.4-1ubuntu8
2025-08-05 16:47:56 install libtinfo6:amd64 <none> 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 status half-installed libtinfo6:amd64 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 status unpacked libtinfo6:amd64 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 install libudev1:amd64 <none> 255.4-1ubuntu8
2025-08-05 16:47:56 status half-installed libudev1:amd64 255.4-1ubuntu8
2025-08-05 16:47:56 status unpacked libudev1:amd64 255.4-1ubuntu8
2025-08-05 16:47:56 install libuuid1:amd64 <none> 2.39.3-9ubuntu6
2025-08-05 16:47:56 status half-installed libuuid1:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:56 status unpacked libuuid1:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:56 install libzstd1:amd64 <none> 1.5.5+dfsg2-2build1
2025-08-05 16:47:56 status half-installed libzstd1:amd64 1.5.5+dfsg2-2build1
2025-08-05 16:47:56 status unpacked libzstd1:amd64 1.5.5+dfsg2-2build1
2025-08-05 16:47:56 install login:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2025-08-05 16:47:56 status half-installed login:amd64 1:4.13+dfsg1-4ubuntu3
2025-08-05 16:47:56 status unpacked login:amd64 1:4.13+dfsg1-4ubuntu3
2025-08-05 16:47:56 install logsave:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:47:56 status half-installed logsave:amd64 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:47:56 status unpacked logsave:amd64 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:47:56 upgrade mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2025-08-05 16:47:56 status half-configured mawk:amd64 1.3.4.20240123-1build1
2025-08-05 16:47:56 status unpacked mawk:amd64 1.3.4.20240123-1build1
2025-08-05 16:47:56 status half-installed mawk:amd64 1.3.4.20240123-1build1
2025-08-05 16:47:56 status unpacked mawk:amd64 1.3.4.20240123-1build1
2025-08-05 16:47:56 install mount:amd64 <none> 2.39.3-9ubuntu6
2025-08-05 16:47:56 status half-installed mount:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:56 status unpacked mount:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:56 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 install ncurses-bin:amd64 <none> 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 status half-installed ncurses-bin:amd64 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 status unpacked ncurses-bin:amd64 6.4+20240113-1ubuntu2
2025-08-05 16:47:56 install passwd:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2025-08-05 16:47:56 status half-installed passwd:amd64 1:4.13+dfsg1-4ubuntu3
2025-08-05 16:47:57 status unpacked passwd:amd64 1:4.13+dfsg1-4ubuntu3
2025-08-05 16:47:57 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2025-08-05 16:47:57 status half-configured perl-base:amd64 5.38.2-3.2build2
2025-08-05 16:47:57 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-08-05 16:47:57 status half-installed perl-base:amd64 5.38.2-3.2build2
2025-08-05 16:47:57 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-08-05 16:47:57 install procps:amd64 <none> 2:4.0.4-4ubuntu3
2025-08-05 16:47:57 status half-installed procps:amd64 2:4.0.4-4ubuntu3
2025-08-05 16:47:57 status unpacked procps:amd64 2:4.0.4-4ubuntu3
2025-08-05 16:47:57 install sed:amd64 <none> 4.9-2build1
2025-08-05 16:47:57 status half-installed sed:amd64 4.9-2build1
2025-08-05 16:47:57 status unpacked sed:amd64 4.9-2build1
2025-08-05 16:47:57 install sensible-utils:all <none> 0.0.22
2025-08-05 16:47:57 status half-installed sensible-utils:all 0.0.22
2025-08-05 16:47:57 status unpacked sensible-utils:all 0.0.22
2025-08-05 16:47:57 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2025-08-05 16:47:57 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2025-08-05 16:47:57 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2025-08-05 16:47:57 install tar:amd64 <none> 1.35+dfsg-3build1
2025-08-05 16:47:57 status half-installed tar:amd64 1.35+dfsg-3build1
2025-08-05 16:47:57 status unpacked tar:amd64 1.35+dfsg-3build1
2025-08-05 16:47:57 install util-linux:amd64 <none> 2.39.3-9ubuntu6
2025-08-05 16:47:57 status half-installed util-linux:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:57 status unpacked util-linux:amd64 2.39.3-9ubuntu6
2025-08-05 16:47:57 install zlib1g:amd64 <none> 1:1.3.dfsg-3.1ubuntu2
2025-08-05 16:47:57 status half-installed zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2025-08-05 16:47:57 status unpacked zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2025-08-05 16:47:57 startup packages configure
2025-08-05 16:47:57 configure gcc-14-base:amd64 14-20240412-0ubuntu1 <none>
2025-08-05 16:47:57 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2025-08-05 16:47:57 status half-configured gcc-14-base:amd64 14-20240412-0ubuntu1
2025-08-05 16:47:57 status installed gcc-14-base:amd64 14-20240412-0ubuntu1
2025-08-05 16:47:57 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2025-08-05 16:47:57 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2025-08-05 16:47:57 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2025-08-05 16:47:57 status installed libaudit-common:all 1:3.1.2-2.1build1
2025-08-05 16:47:57 configure libsemanage-common:all 3.5-1build5 <none>
2025-08-05 16:47:57 status unpacked libsemanage-common:all 3.5-1build5
2025-08-05 16:47:57 status half-configured libsemanage-common:all 3.5-1build5
2025-08-05 16:47:57 status installed libsemanage-common:all 3.5-1build5
2025-08-05 16:47:57 configure debconf:all 1.5.86ubuntu1 <none>
2025-08-05 16:47:57 status unpacked debconf:all 1.5.86ubuntu1
